id,date,product_category,sales_volume,price,promotion,store_location,weekday,supplier_cost,replenishment_lead_time,stock_level,profit,promo_cost,promo_roi,profit_cluster,cluster_label,business_profit_label
1,2023-05-30,Household,1788.0,7.02,0,Suburban,1,4.39,5.0,91.0,4702.44,,,2,Low Profit,Non_promotion
2,2022-11-06,Personal Care,893.0,12.56,1,Suburban,6,4.8,5.0,274.0,6929.68,4286.4,1.616666666666667,0,High Profit,High Profit
3,2022-11-07,Beverages,128.0,10.63,0,Suburban,0,14.11,7.0,65.0,-445.4399999999998,,,0,High Profit,Non_promotion
4,2022-11-08,Dairy,248.0,4.03,0,Urban,1,12.37,1.0,359.0,-2068.32,,,0,High Profit,Non_promotion
5,2022-11-09,Snacks,1902.0,2.2,0,Suburban,2,14.76,2.0,407.0,-23889.12,,,2,Low Profit,Non_promotion
6,2022-11-10,Beverages,1419.0,3.24,0,Urban,3,4.27,7.0,212.0,-1461.569999999999,,,2,Low Profit,Non_promotion
7,2022-11-11,Snacks,110.0,5.32,1,Urban,4,14.56,6.0,147.0,-1016.4,1601.6000000000001,-0.6346153846153846,0,High Profit,Loss/No profit
8,2022-11-12,Snacks,1635.0,7.49,0,Suburban,5,6.75,3.0,205.0,1209.9000000000003,,,2,Low Profit,Non_promotion
9,2022-11-13,Dairy,775.0,8.24,0,Suburban,6,5.54,2.0,51.0,2092.5,,,0,High Profit,Non_promotion
10,2022-11-14,Snacks,1236.0,7.58,1,Urban,0,1.23,4.0,399.0,7848.599999999999,1520.28,5.16260162601626,1,Medium Profit,High Profit
11,2022-11-15,Snacks,286.0,5.54,0,Urban,1,1.27,3.0,446.0,1221.2199999999998,,,0,High Profit,Non_promotion
12,2022-11-16,Dairy,906.0,10.68,0,Rural,2,10.53,7.0,218.0,135.90000000000032,,,0,High Profit,Non_promotion
13,2022-04-14,Snacks,1089.0,4.58,0,Suburban,3,7.6,7.0,266.0,-3288.7799999999997,,,2,Low Profit,Non_promotion
14,2022-04-15,Beverages,314.0,14.89,1,Urban,4,9.85,8.0,50.0,1582.5600000000004,3092.9,0.5116751269035534,0,High Profit,Low Profit
15,2022-04-16,Personal Care,534.0,3.97,0,Urban,5,3.83,7.0,184.0,74.76000000000006,,,0,High Profit,Non_promotion
16,2022-04-17,Dairy,1051.0,5.46,1,Suburban,6,8.51,5.0,234.0,-3205.5499999999997,8944.01,-0.35840188014101054,2,Low Profit,Loss/No profit
17,2022-04-18,Household,822.0,19.3,1,Rural,0,5.9,7.0,400.0,11014.800000000001,4849.8,2.2711864406779663,1,Medium Profit,High Profit
18,2022-04-19,Dairy,1441.0,5.85,1,Rural,1,10.09,3.0,189.0,-6109.84,14539.69,-0.42021803766105054,2,Low Profit,Loss/No profit
19,2022-04-20,Dairy,131.0,13.57,0,Suburban,2,2.55,5.0,155.0,1443.62,,,0,High Profit,Non_promotion
20,2022-04-21,Beverages,769.0,19.59,0,Urban,3,8.78,7.0,182.0,8312.890000000001,,,0,High Profit,Non_promotion
21,2022-04-22,Dairy,384.0,8.11,1,Urban,4,3.19,9.0,157.0,1889.28,1224.96,1.5423197492163008,0,High Profit,High Profit
22,2022-04-23,Personal Care,1428.0,1.33,0,Rural,5,4.54,2.0,227.0,-4583.88,,,2,Low Profit,Non_promotion
